,rl_yaw,rl_roll,rl_pitch
172,17.1875,-8.1875,-29.625
173,16.9375,-7.9375,-29.4375
174,14.25,-8.625,-28.8125
175,10.9375,-10.3125,-27.5625
176,8.6875,-11.3125,-26.9375
177,9.1875,-10.75,-27.25
178,7.8125,-11.0,-28.6875
179,6.1875,-11.6875,-31.3125
180,3.8125,-12.6875,-35.4375
181,0.8125,-13.6875,-40.5
182,-2.125,-14.6875,-45.8125
183,-3.4375,-15.375,-51.1875
184,-4.375,-16.0625,-56.375
185,-5.4375,-16.375,-60.0625
186,-6.75,-16.4375,-63.0
187,-6.125,-16.4375,-65.875
188,-6.5,-16.75,-66.375
189,-8.8125,-17.875,-66.125
190,-17.375,-18.0,-56.5
191,-17.3125,-16.875,-50.0625
192,-17.5625,-15.9375,-45.8125
193,-17.375,-15.0625,-42.5
194,-16.8125,-13.5625,-37.375
195,-16.0,-12.375,-32.625
196,-14.8125,-11.6875,-29.5625
197,-13.875,-10.9375,-28.25
198,-13.375,-10.1875,-27.3125
199,-14.5625,-10.125,-26.75
200,-18.8125,-11.6875,-26.125
201,-23.0625,-13.3125,-25.1875
202,-24.125,-13.125,-25.125
203,-24.1875,-12.5625,-25.6875
204,-24.9375,-12.625,-27.125
205,-26.0625,-12.9375,-30.5
206,-27.875,-13.6875,-35.6875
207,-30.3125,-14.1875,-38.8125
208,-31.9375,-14.8125,-42.0625
209,-32.25,-15.0625,-47.1875
210,-32.25,-15.3125,-52.625
211,-32.375,-15.5,-57.5625
212,-32.9375,-15.25,-61.0625
213,-33.25,-15.5,-64.125
214,-33.1875,-15.875,-66.875
215,-32.6875,-16.125,-68.0625
216,-32.5,-16.375,-68.1875
217,-34.125,-16.3125,-67.6875
218,-41.25,-17.0,-67.0625
219,-44.8125,-18.0625,-67.625
220,-44.9375,-17.625,-67.875
221,-44.875,-17.375,-67.0625
222,-44.6875,-17.125,-65.375
223,-44.125,-16.5625,-62.9375
224,-43.3125,-15.6875,-58.5625
225,-42.3125,-15.0,-54.3125
226,-41.4375,-14.1875,-50.375
227,-40.875,-13.625,-46.375
228,-40.3125,-12.9375,-42.25
229,-39.375,-12.1875,-37.875
230,-38.6875,-11.5625,-34.75
231,-38.4375,-11.0625,-32.1875
232,-38.9375,-11.0,-30.5625
233,-39.4375,-10.625,-29.625
234,-40.4375,-10.5,-29.0
235,-41.4375,-10.4375,-28.5625
236,-42.0625,-10.25,-28.25
237,-42.625,-10.25,-28.4375
238,-42.6875,-10.1875,-28.625
239,-46.0625,-11.4375,-28.625
240,-50.625,-13.625,-28.875
241,-57.375,-16.1875,-29.6875
242,-62.5,-18.1875,-30.4375
243,-65.5625,-18.75,-31.0625
244,-66.625,-18.5,-31.875
245,-66.4375,-18.1875,-33.125
246,-66.75,-18.3125,-37.3125
247,-67.4375,-18.375,-43.6875
248,-68.25,-18.4375,-50.5
249,-68.5625,-18.4375,-55.875
250,-69.5,-18.125,-60.1875
251,-69.8125,-17.75,-62.6875
