,rl_yaw,rl_roll,rl_pitch
180,-0.1875,-63.3125,36.5
181,-0.1875,-63.3125,36.4375
182,-0.1875,-63.3125,36.5
183,-0.1875,-63.3125,36.5
184,-0.1875,-63.3125,36.5
185,-0.1875,-63.3125,36.5
186,-0.1875,-63.3125,36.5625
187,-0.1875,-63.3125,36.625
188,-0.1875,-63.3125,36.625
189,-0.1875,-63.3125,36.6875
190,-0.1875,-63.375,36.6875
191,-0.125,-63.375,36.75
192,-0.125,-63.3125,36.75
193,-0.125,-63.3125,36.6875
194,-0.1875,-63.3125,36.625
195,-0.25,-63.3125,36.5625
196,-0.25,-63.1875,36.5625
197,-0.25,-63.1875,36.5625
198,-0.25,-63.1875,36.5625
199,-0.25,-63.1875,36.5
200,-0.3125,-63.1875,36.5
201,-0.3125,-63.1875,36.5625
202,-0.3125,-63.1875,36.5625
203,-0.3125,-63.1875,36.5
204,-0.3125,-63.1875,36.4375
205,-0.3125,-63.1875,36.375
206,-0.3125,-63.125,36.4375
207,-0.3125,-63.125,36.375
208,-0.3125,-63.125,36.375
209,-0.3125,-63.125,36.375
210,-0.3125,-63.125,36.3125
211,-0.375,-63.125,36.3125
212,-0.375,-63.125,36.3125
213,-0.375,-63.125,36.3125
214,-0.375,-63.125,36.25
215,-0.375,-63.125,36.25
216,-0.375,-63.125,36.1875
217,-0.375,-63.125,36.1875
218,-0.375,-63.125,36.1875
219,-0.375,-63.125,36.1875
220,-0.375,-63.125,36.1875
221,-0.375,-63.125,36.1875
222,-0.375,-63.125,36.1875
223,-0.375,-63.125,36.1875
224,-0.375,-63.125,36.1875
225,-0.375,-63.125,36.25
226,-0.375,-63.125,36.25
227,-0.375,-63.125,36.3125
228,-0.375,-63.125,36.3125
229,-0.375,-63.125,36.3125
230,-0.4375,-63.1875,36.3125
231,-0.4375,-63.1875,36.3125
232,-0.4375,-63.125,36.25
233,-0.4375,-63.125,36.25
234,-0.5,-63.125,36.1875
235,-0.5,-63.0625,36.125
236,-0.5,-63.0625,36.125
237,-0.5625,-63.125,36.125
238,-0.5625,-63.0625,36.125
239,-0.5625,-63.0625,36.0625
240,-0.5625,-63.0625,36.0
241,-0.625,-63.0625,35.9375
242,-0.6875,-63.0625,36.0
243,-0.8125,-63.0625,35.9375
